0.17172,0.85859,301.26
0,0.94949,0
0.020202,0.85859,0
0.87879,0.55556,370.02
0.51515,0.26263,505.1
0.9697,0.58586,358.97
0.29293,0.84848,300.08
0.64646,1,272.45
0.79798,0.77778,313.82
0.090909,0.22222,577.2
0.42424,0.080808,708.34
0.070707,0.87879,0
0.27273,0.26263,505.64
0.30303,0.18182,571.07
0.10101,0.9899,0
0.14141,0.58586,357.62
0.27273,0.11111,660.5
0.010101,0.21212,0
0.34343,1,272.74
0.10101,0.13131,668.77
0.62626,0.68687,336.42
0.020202,0.010101,0
0.39394,0.61616,355.33
0.92929,0.12121,629.88
0.34343,0.020202,1000
0.87879,0.85859,296.07
0.45455,0.090909,687.51
0.86869,0.44444,408.34
0.74747,0.50505,388.74
0.74747,0.89899,289.72
0.050505,0.40404,0
0.55556,0.16162,587.89
0.020202,0.86869,0
0.93939,0.33333,455.15
0.32323,0.050505,796.03
0.67677,0.32323,467.04
0.31313,0.21212,543.38
0.18182,0.85859,301.06
0.87879,0.070707,737.46
0.83838,0.34343,453
0.11111,0.56566,390.73
0.81818,0.49495,391.02
0.42424,0.76768,317.28
0.63636,0.70707,331.36
0.070707,0.79798,0
0.46465,0.15152,600.43
0.64646,0.23232,524.32
0.84848,0.29293,479.74
0.10101,0.43434,447.51
0.33333,0.9798,276.09
0.93939,0.43434,410.37
0.48485,0.91919,286.79
0.75758,0.12121,633.29
0.18182,0.94949,284.39
0.47475,0.13131,624.55
0.90909,0.92929,282.41
0.49495,0.50505,390.44
0.29293,0.61616,355.11
0.73737,0.71717,328.27
0.050505,0.43434,0
0.45455,0.76768,317.34
0.63636,0.38384,437.86
0.020202,0.13131,0
0.9899,0.36364,438.9
0.59596,0.80808,308.52
0.93939,0.71717,325.44
0.9899,0.59596,355.6
0.54545,0.66667,341.79
0.68687,0.9899,273.96
0.76768,0.36364,444.97
0.61616,0.18182,566.7
0.83838,0.65657,342.22
0.12121,0.14141,640.28
0.31313,0.060606,762.99
0.21212,0.9798,277.32
0.83838,0.15152,592.43
0.74747,0.28283,488.42
0.57576,0.50505,390.3
0.89899,0.54545,372.72
0.71717,0.69697,333.36
0.11111,0.43434,430.43
0.12121,0.38384,441.64
0.49495,0.040404,1000
0.70707,0.090909,686.24
0.61616,0.24242,517.62
0.77778,0.60606,356.83
0.51515,0.12121,637.42
0.47475,0.29293,486.26
0.30303,0.29293,486.19
0.66667,0.15152,596.59
0.29293,0.65657,344.04
0.22222,0.67677,339.49
0.31313,0.50505,390.05
0.010101,0.86869,0
0.13131,1,284.61
0.59596,0.040404,1000
0.43434,0.9899,274.44
0.13131,0.13131,655.38
0.30303,0.51515,386.55
0.78788,0.69697,332.68
